project_name,engagement_type,activity_type,facilitator,description,academic_year,semester,end_semester,total_uno_students,total_uno_hours,total_k12_students,total_k12_hours,total_other_community_members,total_uno_faculty,total_economic_impact,other_details,outcomes,campus_partner,community_partner,mission,mission_type,status,address_line1,city,state,zip
Program Evaluation: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Childrens Scholarship Fund of Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Program Evaluation: 2016-17 (002),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Greater Omaha Attendance and Learning Services,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Program Evaluation: 2017-18 (002),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2017-18,Fall 2017,Spring 2018,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Dreamweaver Foundation,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Program Evaluation: 2017-18 (003),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2017-18,Spring 2018,Summer 2018,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Girls Inc,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Program Evaluation: 2017-18 (004),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2017-18,Fall 2017,Spring 2018,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Inclusive Communities (IC),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Public Policy Evaluation: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),Students provide a policy or program evaluation plan for the partner,2017-18,Fall 2017,Fall 2017,12,15,0,0,0,0,0,N/A,N/A,"Public Administration, School of",Intercultural Senior Center,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Rape Prevention & Education Training & Evaluation: 2017-18 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2017-18,Spring 2018,Summer 2018,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Nebraska Department of Health and Human Services,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Road to 2020 Census: Community Dialogue: 2016-17 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"A two-part event: Part one  provides an early overview of 2020 Census innovations, timeline, critical geographic program deadlines, and the Community Partnership and Engagement program outreach plans. ",2016-17,Summer 2017,Summer 2017,0,0,0,0,35,0,0,N/A,N/A,Center for Public Affairs Research (CPAR),Metropolitan Area Planning Agency (MAPA),Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Road to 2020 Census: Community Dialogue: 2016-17 (002),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),"A two-part event:Part two is a presentation followed by a Q&A. Topics include recruiting and hiring for Census jobs, motivating local residents to fill out forms, and helping immigrants and other hard to count groups participate.",2016-17,Summer 2017,Summer 2017,0,0,0,0,40,0,0,N/A,N/A,Center for Public Affairs Research (CPAR),Metropolitan Area Planning Agency (MAPA),Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Royale Oakes: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,18,20,0,0,0,0,0,N/A,N/A,"English, Department of",Royale Oaks Assisted Living,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Lunch and Learn: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),City Sprouts,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Lunch and Learn: 2016-17 (002),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Grief's Journey,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Lunch and Learn: 2016-17 (003),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Heron Haven,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Lunch and Learn: 2016-17 (004),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Joslyn Art Museum,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Lunch and Learn: 2016-17 (005),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Kids Can,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Lunch and Learn: 2016-17 (006),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),75 North,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),A Time to Heal (ATTH),Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (002),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Alliance for a Better Omaha,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (003),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Joslyn Art Museum,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (004),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (005),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Kids Can,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (006),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Lauritzen Gardens,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (007),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Learning Community Center of South Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (008),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Legal Aid of Nebraska,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (009),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Nebraska 4-H,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (010),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Omaha Housing Authority,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (011),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Omaha Police Department,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (012),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Henry Doorly Zoo & Aquarium,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (013),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Boys and Girls Club of the Midlands,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (014),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Open Door Mission,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (015),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Opera Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (016),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),QLI,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (018),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Together Inc,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (019),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Union for Contemporary Arts,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (020),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Urban Abbey,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (021),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Down Syndrome Alliance of the Midlands (DSM),Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (022),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Coalition for a Strong Nebraska,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (024),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Girl Scouts Spirit of Nebraska,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (025),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Heartland Hope Mission,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (026),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),The Hope Center,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (027),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Inclusive Communities (IC),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Nonprofit Fair: 2016-17 (028),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Intercultural Senior Center,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Service Site: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),City Sprouts,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Service Site: 2016-17 (002),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Fontenelle Forest,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Service Site: 2016-17 (003),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Heartland Family Services,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Service Site: 2016-17 (004),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Intercultural Senior Center,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seminar Service Site: 2016-17 (005),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Summer 2017,Summer 2017,0,0,0,0,0,0,0,N/A,N/A,Service Learning Academy (SLA),Mercy Housing,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Organized clothing closet and food pantry,2016-17,Spring 2017,Spring 2017,23,20,3,1,2,0,0,1 MCC Student,pre-post surveys,Office of Civic and Social Responsibility (CSR),Heart Ministry Center,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Landscaped, organized and cleaned ",2016-17,Spring 2017,Spring 2017,19,20,0,0,0,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Islamic Center of Omaha,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Revitalized and landscaped outdoor garden,2016-17,Spring 2017,Spring 2017,16,20,2,1,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Benson Plant Rescue,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (008),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Litter cleanup from Levi Carter Park,2016-17,Spring 2017,Spring 2017,6,20,2,1,15,0,0,14 OPS UNO Middle College Students,pre-post surveys,OPS UNO Middle College,Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (010),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Organized and cleaned coffee shop,2016-17,Spring 2017,Spring 2017,9,20,2,1,14,0,0,14 OPS UNO Middle College Students,pre-post surveys,OPS UNO Middle College,No More Empty Cups,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (011),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Packed food bags and organized donations,2016-17,Spring 2017,Spring 2017,15,20,0,0,1,0,0,1 YSEALI Student,pre-post surveys,Office of Civic and Social Responsibility (CSR),Food Bank for the Heartland,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (012),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Prepared crafts for annual Family Days event,2016-17,Spring 2017,Spring 2017,11,20,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Grief's Journey,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (014),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Assemble medals for youth who participate in their programming.,2016-17,Spring 2017,Spring 2017,12,20,0,0,9,6,0,6 Goodwill Youthbuild Student & 3 YSEALI Students,pre-post surveys,Office of Civic and Social Responsibility (CSR),Partnership 4 Kids (P4K),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (017),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Prepared materials for annual volunteer event,2016-17,Spring 2017,Spring 2017,13,20,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Youth Emergency Services (YES),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (019),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Installed garden beds  and painted signs for outdoor space,2016-17,Spring 2017,Spring 2017,12,20,1,1,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Nebraska Urban Indian Health Coalition,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (020),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Painted indoor space and organized donations,2016-17,Spring 2017,Spring 2017,21,20,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Refugee Empowerment Center,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (021),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Planting and mulching trees in partnership with Tree Campus USA,2016-17,Spring 2017,Spring 2017,22,20,7,1,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Omaha North High School,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (022),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Organized clothing closet donations,2016-17,Spring 2017,Spring 2017,17,20,0,0,15,0,0,15 Goodwill Youthbuild Students,pre-post surveys,Office of Civic and Social Responsibility (CSR),Heart Ministry Center,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (023),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Filed, organized and catalogued documents",2016-17,Spring 2017,Spring 2017,12,20,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Heartland Family Services,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (024),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Packaged safe-sex kits,2016-17,Spring 2017,Spring 2017,6,20,0,0,0,6,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Nebraska AIDS Project,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (025),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Served lunch to clients, organized food pantry",2016-17,Spring 2017,Spring 2017,11,20,0,0,1,1,0,1 OPS UNO Middle College Student,pre-post surveys,Office of Civic and Social Responsibility (CSR),Salvation Army,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (026),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Installed community garden,2016-17,Spring 2017,Spring 2017,16,20,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Union for Contemporary Arts,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (027),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Evaluated online user platform,2016-17,Spring 2017,Spring 2017,14,20,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),UNL Nebraska Extension,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (028),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Cleaned and organized facility,2016-17,Spring 2017,Spring 2017,11,20,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Chabad-Lubavitch of Nebraska Inc.,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (029),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Packaged food bags, organized school supplies ",2016-17,Spring 2017,Spring 2017,13,20,0,0,1,5,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Hope Center for Kids,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (030),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Landscaped and revitalized grounds,2016-17,Spring 2017,Spring 2017,12,20,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Nebraska Lutheran Outdoor Ministry,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (032),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Restocked and organized donations,2016-17,Spring 2017,Spring 2017,13,20,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Habitat for Humanity: Council Bluffs,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2016-17 (033),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Deconstructed future home,2016-17,Spring 2017,Spring 2017,12,20,0,0,5,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Habitat for Humanity: Omaha,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will help with costume collection archiving, newspaper archiving, and basic IT organization.",2017-18,Spring 2018,Spring 2018,9,44,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Douglas County Historial Society,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be painting, organizing our laundry room, and then cleaning our bean bags/dot chairs. The main project is painting, so please make sure students are aware of that.",2017-18,Spring 2018,Spring 2018,16,67,0,0,2,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Girls Inc,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be helping with our construction projects - this may include framing, demo work, siding, drywall, painting, etc... All tools, protection equipment, and training will be provided. No experience necessary.",2017-18,Spring 2018,Spring 2018,9,35,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Habitat for Humanity: Omaha,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be cleaning up the facilities and helping out with some painting and light maintenance work.,2017-18,Spring 2018,Spring 2018,11,53,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Upward Bound,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will help with painting, cleaning, grounds work and some light building.",2017-18,Spring 2018,Spring 2018,12,57,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Boys and Girls Club of the Midlands,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (007),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be preparing a packet to send out to over 70 institutions in Kansas, Nebraska and South Dakota to encourage institutions to get connected to Campus Compact.",2017-18,Spring 2018,Spring 2018,12,40,0,0,0,0,0,N/A,pre-post surveys,Lambda Theta Nu,Campus Compact for the Great Plains,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (008),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will work in our donation room, sorting and storing items that have been donated. Sort thru food items, discard expired foods, and assist with restocking storage areas in shelter. Volunteers will also deep clean shelter areas - to include sweep/mop under appliances and in the playroom will sort and discard broken toys, deep clean and disinfect remaining toys and area. If weather permits volunteers will work to prepare front of building for spring, to include raking and picking up area.",2017-18,Spring 2018,Spring 2018,5,16,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Catholic Charities - Phoenix House,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (009),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be sorting donations and stocking shelves.,2017-18,Spring 2018,Spring 2018,10,41,0,0,2,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Heart Ministry Center,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (010),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help prepare the grounds for spring and clean and refresh the common areas.,2017-18,Spring 2018,Spring 2018,9,37,0,0,0,0,0,N/A,pre-post surveys,Multicultural Greek Council,inCOMMON Community Development,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (012),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will assist with serving lunches and cleaning the facilities.,2017-18,Spring 2018,Spring 2018,18,93,0,0,0,0,0,N/A,pre-post surveys,Karen Student Association,Salvation Army: North Corps,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (014),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help with book inventory and record keeping.,2017-18,Spring 2018,Spring 2018,14,59,0,0,0,2,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Literacy Center of the Midlands,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (015),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help with gardening tasks.,2017-18,Spring 2018,Spring 2018,20,96,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),No More Empty Pots,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (016),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be painting walls in the facility.,2017-18,Spring 2018,Spring 2018,24,118,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),The Hope Center,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
